,N,SSIM,MSE
175,4175,0.9163382340686131,0.009188649244606495
176,4176,0.9221330065038921,0.007866829633712769
177,4177,0.9221396942579659,0.00803639180958271
178,4178,0.9196850985590969,0.00881284847855568
179,4179,0.9238572474574088,0.00777464359998703
180,4180,0.9251824164544341,0.007520615588873625
181,4181,0.9219235938129503,0.008345475420355797
182,4182,0.9242040486995043,0.00769371259957552
183,4183,0.9225284871055843,0.00790142361074686
184,4184,0.9207022910081931,0.008261192589998245
185,4185,0.9229454905610883,0.007633237168192863
186,4186,0.9203387423253522,0.00823359563946724
187,4187,0.9201407715116569,0.008134609088301659
188,4188,0.9217099329587838,0.007654372602701187
189,4189,0.9193201079334913,0.008275178261101246
190,4190,0.9200812472280558,0.007868224754929543
191,4191,0.9208732044010918,0.007580355741083622
192,4192,0.9183046557319577,0.008266148157417774
193,4193,0.9178418612605208,0.008263111114501953
194,4194,0.9196843482126967,0.007582481019198895
195,4195,0.917180173885697,0.008141214959323406
196,4196,0.9158262556037838,0.008450469933450222
197,4197,0.9191769150715723,0.007381202653050423
198,4198,0.9162060763865602,0.008053968660533428
199,4199,0.9136316600853607,0.008609289303421974
200,4200,0.9174939498996867,0.007448669988662004
201,4201,0.9150049546140315,0.007962731644511223
202,4202,0.9119249570459523,0.008565003983676434
203,4203,0.9157164868324529,0.007606325205415487
204,4204,0.9141442989727777,0.007844098843634129
205,4205,0.911525435847208,0.008472410961985588
206,4206,0.9145204370890941,0.007711011916399002
207,4207,0.9110633080063832,0.008352939039468765
208,4208,0.9110926910340075,0.008372591808438301
209,4209,0.9141188210902099,0.007718630135059357
210,4210,0.9120673836704201,0.008318756707012653
211,4211,0.914117580812947,0.007816903293132782
212,4212,0.9148548123114125,0.007657072506844997
213,4213,0.9107004778819583,0.008432220667600632
214,4214,0.9106637453485167,0.008326142095029354
215,4215,0.9123527323454218,0.007827775552868843
216,4216,0.9089872546609641,0.008440607227385044
217,4217,0.9076907485395618,0.00865471176803112
218,4218,0.9129426245204955,0.00763230212032795
219,4219,0.9129496612021681,0.007892999798059464
220,4220,0.9124491578646282,0.008307298645377159
221,4221,0.9169082654003345,0.007173759862780571
222,4222,0.9176894237791173,0.00715278647840023
223,4223,0.9150385199246331,0.008053213357925415
224,4224,0.9178084072293261,0.007238912861794233
225,4225,0.9181852674242375,0.006954637356102467
226,4226,0.9147042194018439,0.00795295275747776
227,4227,0.9156867407321894,0.007632728666067123
228,4228,0.9168950954977262,0.007350726053118706
229,4229,0.9150845932765986,0.007716989144682884
230,4230,0.9149487351243317,0.007786115165799856
231,4231,0.9153181463389892,0.007676791399717331
232,4232,0.9153038898452384,0.007529315538704395
233,4233,0.9141406038917703,0.007831907831132412
234,4234,0.9157714406839323,0.0074910968542099
235,4235,0.9147190124475245,0.00772378733381629
236,4236,0.9137164879989733,0.007872531190514565
