Experiment name: EXP_0_1
Epoch [144/200], Average Loss: 0.001398, Current_LR:0.0001
Epoch [145/200], Average Loss: 0.001391, Current_LR:0.0001
Epoch [146/200], Average Loss: 0.001390, Current_LR:0.0001
Epoch [147/200], Average Loss: 0.001383, Current_LR:0.0001
Epoch [148/200], Average Loss: 0.001388, Current_LR:0.0001
Epoch [149/200], Average Loss: 0.001373, Current_LR:0.0001
Epoch [150/200], Average Loss: 0.001377, Current_LR:0.0001
Epoch [151/200], Average Loss: 0.001350, Current_LR:0.0001
Epoch [152/200], Average Loss: 0.001360, Current_LR:0.0001
Epoch [153/200], Average Loss: 0.001352, Current_LR:0.0001
Epoch [154/200], Average Loss: 0.001346, Current_LR:0.0001
Epoch [155/200], Average Loss: 0.001341, Current_LR:0.0001
Epoch [156/200], Average Loss: 0.001334, Current_LR:0.0001
Epoch [157/200], Average Loss: 0.001333, Current_LR:0.0001
Epoch [158/200], Average Loss: 0.001327, Current_LR:0.0001
Epoch [159/200], Average Loss: 0.001329, Current_LR:0.0001
Epoch [160/200], Average Loss: 0.001324, Current_LR:0.0001
Epoch [161/200], Average Loss: 0.001314, Current_LR:0.0001
Epoch [162/200], Average Loss: 0.001313, Current_LR:0.0001
Epoch [163/200], Average Loss: 0.001317, Current_LR:0.0000
Epoch [164/200], Average Loss: 0.001308, Current_LR:0.0000
Epoch [165/200], Average Loss: 0.001313, Current_LR:0.0000
Epoch [166/200], Average Loss: 0.001306, Current_LR:0.0000
Epoch [167/200], Average Loss: 0.001298, Current_LR:0.0000
Epoch [168/200], Average Loss: 0.001300, Current_LR:0.0000
Epoch [169/200], Average Loss: 0.001291, Current_LR:0.0000
Epoch [170/200], Average Loss: 0.001293, Current_LR:0.0000
Epoch [171/200], Average Loss: 0.001293, Current_LR:0.0000
Epoch [172/200], Average Loss: 0.001289, Current_LR:0.0000
Epoch [173/200], Average Loss: 0.001285, Current_LR:0.0000
Epoch [174/200], Average Loss: 0.001282, Current_LR:0.0000
Epoch [175/200], Average Loss: 0.001283, Current_LR:0.0000
Epoch [176/200], Average Loss: 0.001284, Current_LR:0.0000
Epoch [177/200], Average Loss: 0.001282, Current_LR:0.0000
Epoch [178/200], Average Loss: 0.001276, Current_LR:0.0000
Epoch [179/200], Average Loss: 0.001275, Current_LR:0.0000
Epoch [180/200], Average Loss: 0.001278, Current_LR:0.0000
Epoch [181/200], Average Loss: 0.001276, Current_LR:0.0000
Epoch [182/200], Average Loss: 0.001268, Current_LR:0.0000
Epoch [183/200], Average Loss: 0.001268, Current_LR:0.0000
Epoch [184/200], Average Loss: 0.001266, Current_LR:0.0000
Epoch [185/200], Average Loss: 0.001263, Current_LR:0.0000
Epoch [186/200], Average Loss: 0.001272, Current_LR:0.0000
Epoch [187/200], Average Loss: 0.001262, Current_LR:0.0000
Epoch [188/200], Average Loss: 0.001266, Current_LR:0.0000
Epoch [189/200], Average Loss: 0.001263, Current_LR:0.0000
Epoch [190/200], Average Loss: 0.001261, Current_LR:0.0000
Epoch [191/200], Average Loss: 0.001262, Current_LR:0.0000
Epoch [192/200], Average Loss: 0.001260, Current_LR:0.0000
Epoch [193/200], Average Loss: 0.001261, Current_LR:0.0000
Epoch [194/200], Average Loss: 0.001264, Current_LR:0.0000
Epoch [195/200], Average Loss: 0.001257, Current_LR:0.0000
Epoch [196/200], Average Loss: 0.001260, Current_LR:0.0000
Epoch [197/200], Average Loss: 0.001258, Current_LR:0.0000
Epoch [198/200], Average Loss: 0.001259, Current_LR:0.0000
Epoch [199/200], Average Loss: 0.001262, Current_LR:0.0000
Epoch [200/200], Average Loss: 0.001253, Current_LR:0.0000
